Review_ID,Product,Category,Platform,Aspect,Aspect_Sentiment,Aspect_Compound,Clause
125,Samsung Buds Live,Accessories,Flipkart,display,Negative,-0.5423,bad issue display flickering
131,Samsung Charger 25W,Accessories,Flipkart,battery,Negative,-0.35,average travel usually product catch issue battery draining fast
132,Samsung Charger 25W,Accessories,Flipkart,display,Positive,0.4019,door lead box world interesting issue display flickering
136,Samsung Galaxy A34,Smartphone,Amazon,battery,Negative,-0.6705,waste of money issue charging problem
137,Samsung Galaxy S21 FE,Smartphone,Flipkart,build_quality,Positive,0.4404,good space law build
139,Samsung Galaxy S21 FE,Smartphone,Amazon,display,Positive,0.6597,good night work trial water with like issue display flickering
142,Samsung Galaxy A14,Smartphone,Amazon,battery,Positive,0.6369,excellent provide agreement left throughout former issue charging problem
147,Samsung Galaxy Book 2,Smartphone,Amazon,performance,Negative,-0.4215,waste of money issue slow performance
148,Samsung Galaxy Book 2,Smartphone,Flipkart,camera,Positive,0.4404,good throughout organization its white travel focus
151,Samsung Galaxy Tab S7 FE,Smartphone,Amazon,performance,Positive,0.743,good spring stage talk house attorney kind rate population issue slow performance
158,Samsung Galaxy Book 2,Smartphone,Flipkart,connectivity,Negative,-0.4215,waste of money culture give church network realize guess raise
159,Samsung Galaxy M53,Smartphone,Amazon,battery,Negative,-0.1779,bad nice deal follow record issue battery draining fast
163,Samsung Galaxy S22,Smartphone,Amazon,camera,Positive,0.6369,love the camera quality
165,Samsung Charger 25W,Accessories,Flipkart,battery,Negative,-0.4019,average page the somebody none team nearly space issue charging problem
187,Samsung Galaxy Tab A8,Smartphone,Amazon,battery,Positive,0.5719,excellent issue battery draining fast
197,Samsung Galaxy A54,Smartphone,Amazon,performance,Negative,-0.35,software updates are slow
199,Samsung Buds 2,Accessories,Amazon,heating,Negative,-0.0516,good family attack hot recognize address tax
202,Samsung Buds Live,Accessories,Amazon,heating,Negative,-0.35,average population force fast open hot
203,Samsung Refrigerator,Other,Amazon,display,Positive,0.5859,amazing display quality
205,Samsung Galaxy Tab S7 FE,Smartphone,Amazon,build_quality,Negative,-0.25,waste of money wide build fine than report send
219,Samsung Galaxy A14,Smartphone,Amazon,performance,Negative,-0.4939,bad top stand carry tough office employee until issue slow performance
228,Samsung Galaxy M53,Smartphone,Flipkart,performance,Positive,0.5267,worth it everybody from natural writer fly image issue slow performance
234,Samsung Galaxy S22,Smartphone,Flipkart,battery,Negative,-0.4019,fall state firm black issue charging problem
239,Samsung Galaxy S22,Smartphone,Flipkart,battery,Positive,0.5719,excellent work buy life role economic attorney what station
240,Samsung Soundbar,Other,Amazon,performance,Negative,-0.35,software updates are slow
242,Samsung Galaxy M53,Smartphone,Amazon,battery,Negative,-0.5096,not great issue battery draining fast
244,Samsung Galaxy Tab S7 FE,Smartphone,Flipkart,battery,Negative,-0.5096,not great soldier social toward usually material enter memory issue battery draining fast
247,Samsung Galaxy S23,Smartphone,Flipkart,battery,Negative,-0.4215,waste of money control tv window issue battery draining fast
248,Samsung Buds Live,Accessories,Amazon,battery,Negative,-0.7096,bad hundred low try well number chair consider issue charging problem
259,Samsung Galaxy Tab A8,Smartphone,Flipkart,performance,Negative,-0.128,waste of money pattern ability adult small issue slow performance
262,Samsung Galaxy S21 FE,Smartphone,Flipkart,battery,Negative,-0.35,average issue battery draining fast
263,Samsung Galaxy M34,Smartphone,Amazon,battery,Negative,-0.5096,not great when produce language agent yeah no hot issue battery draining fast
267,Samsung Galaxy A54,Smartphone,Amazon,software,Neutral,0.0,very userfriendly interface
268,Samsung Charger 25W,Accessories,Flipkart,display,Negative,-0.35,average issue display flickering
269,Samsung Galaxy Tab A8,Smartphone,Flipkart,display,Positive,0.296,good lose dream stuff radio issue display flickering
272,Samsung Buds 2,Accessories,Flipkart,battery,Negative,-0.7351,bad guy century follow high issue charging problem
283,Samsung Galaxy Tab A8,Smartphone,Amazon,battery,Negative,-0.5096,not great issue battery draining fast
288,Samsung Buds 2,Accessories,Amazon,battery,Negative,-0.4019,average social big federal personal reality pattern issue charging problem
294,Samsung Galaxy S22,Smartphone,Amazon,battery,Negative,-0.6705,waste of money travel star structure wide issue charging problem
296,Samsung Galaxy Tab S7 FE,Smartphone,Amazon,battery,Negative,-0.6705,waste of money list experience book purpose scene former issue charging problem
308,Samsung Galaxy M14,Smartphone,Amazon,battery,Negative,-0.4019,average issue charging problem
316,Samsung Galaxy A54,Smartphone,Amazon,display,Negative,-0.4215,waste of money issue display flickering
325,Samsung Galaxy A54,Smartphone,Amazon,battery,Negative,-0.4215,waste of money issue battery draining fast
329,Samsung Galaxy M53,Smartphone,Flipkart,camera,Positive,0.5719,excellent director star century picture including among his whole
340,Samsung Galaxy Tab S7 FE,Smartphone,Flipkart,display,Negative,-0.5423,bad issue display flickering
344,Samsung Galaxy S23,Smartphone,Flipkart,battery,Negative,-0.7351,bad issue charging problem
347,Samsung Galaxy S21 FE,Smartphone,Amazon,battery,Positive,0.9118,excellent card red success floor contain product media best issue battery draining fast
349,Samsung Soundbar,Other,Flipkart,software,Neutral,0.0,very userfriendly interface
354,Samsung Galaxy Buds2,Smartphone,Flipkart,sound,Positive,0.5859,speaker quality is amazing
362,Samsung Galaxy S21 FE,Smartphone,Amazon,battery,Negative,-0.6705,waste of money issue charging problem
363,Samsung Galaxy A14,Smartphone,Amazon,performance,Positive,0.5719,excellent issue slow performance
364,Samsung Buds 2,Accessories,Amazon,performance,Negative,-0.5423,bad approach how collection lot student issue slow performance
369,Samsung Galaxy Book 2,Smartphone,Flipkart,battery,Negative,-0.34,waste of money much benefit matter where effect center two issue charging problem
371,Samsung Galaxy A34,Smartphone,Flipkart,heating,Positive,0.5719,excellent interview itself meet according hot
373,Samsung Galaxy Tab S7 FE,Smartphone,Amazon,display,Positive,0.5719,excellent many such remain difference issue display flickering
378,Samsung QLED TV,TV,Flipkart,battery,Positive,0.4404,battery life could be better
381,Samsung Galaxy A14,Smartphone,Flipkart,battery,Positive,0.0516,good dinner hospital summer office green issue charging problem
385,Samsung Galaxy Tab A8,Smartphone,Flipkart,battery,Negative,-0.6705,waste of money factor understand maybe his issue charging problem
390,Samsung Galaxy Book 2,Smartphone,Amazon,battery,Positive,0.4404,average radio good meeting life church heart degree
391,Samsung Charger 25W,Accessories,Flipkart,camera,Negative,-0.4767,average issue camera quality is poor
392,Samsung Galaxy A14,Smartphone,Amazon,battery,Positive,0.5719,excellent power we production where goal
395,Samsung Buds 2,Accessories,Amazon,camera,Negative,-0.7096,waste of money issue camera quality is poor
419,Samsung Galaxy M14,Smartphone,Flipkart,display,Negative,-0.2023,bad air real health view treat issue display flickering
421,Samsung Charger 25W,Accessories,Flipkart,display,Positive,0.2263,worth it him tv little soon store garden issue display flickering
424,Samsung Galaxy S22,Smartphone,Flipkart,display,Positive,0.4404,good guess end do issue display flickering
425,Samsung Galaxy Tab S7 FE,Smartphone,Flipkart,battery,Negative,-0.8225,waste of money into last store yourself attack issue charging problem
426,Samsung Galaxy A14,Smartphone,Amazon,performance,Positive,0.2746,not great city seek every natural safe issue slow performance
428,Samsung Galaxy Book 2,Smartphone,Flipkart,battery,Negative,-0.4203,not great specific south worry lot process kind dark it issue battery draining fast
429,Samsung Galaxy A54,Smartphone,Flipkart,performance,Positive,0.8316,good brother hand treat tonight rock paper issue slow performance
436,Samsung Galaxy S22,Smartphone,Flipkart,camera,Positive,0.4404,good base focus more measure food
437,Samsung Galaxy S23,Smartphone,Amazon,battery,Neutral,0.0,average room catch form country life
448,Samsung Galaxy M53,Smartphone,Amazon,performance,Negative,-0.4215,waste of money issue slow performance
450,Samsung Galaxy M34,Smartphone,Amazon,battery,Positive,0.5719,excellent issue battery draining fast
454,Samsung Galaxy M53,Smartphone,Flipkart,battery,Positive,0.5859,worth it field table hope issue battery draining fast
455,Samsung Galaxy A34,Smartphone,Amazon,battery,Positive,0.5574,good scientist grow pressure my improve control light issue battery draining fast
456,Samsung Galaxy M53,Smartphone,Flipkart,connectivity,Negative,-0.1531,average me miss light network trip
460,Samsung Galaxy M14,Smartphone,Amazon,display,Negative,-0.4215,waste of money son level national investment daughter main issue display flickering
463,Samsung Buds 2,Accessories,Amazon,performance,Negative,-0.35,average work ground contain arm issue slow performance
464,Samsung Galaxy S21 FE,Smartphone,Amazon,battery,Negative,-0.6705,waste of money issue charging problem
468,Samsung Galaxy A34,Smartphone,Flipkart,camera,Positive,0.0516,average chance success fire get issue camera quality is poor
471,Samsung Galaxy S21 FE,Smartphone,Amazon,display,Positive,0.8658,good allow skill use draw benefit easy issue display flickering
484,Samsung Buds 2,Accessories,Amazon,battery,Negative,-0.5096,not great issue battery draining fast
486,Samsung Galaxy M14,Smartphone,Amazon,display,Negative,-0.35,average issue display flickering
487,Samsung Galaxy A34,Smartphone,Amazon,battery,Negative,-0.844,not great image trial sound poor leader it car issue charging problem
488,Samsung Galaxy M14,Smartphone,Amazon,camera,Negative,-0.3599,not great focus federal detail fine issue overheating issue
489,Samsung Galaxy Book 3,Smartphone,Amazon,display,Negative,-0.35,average actually new federal issue display flickering
491,Samsung Buds Live,Accessories,Amazon,camera,Negative,-0.4939,bad kind decade tell girl product yard issue camera quality is poor
492,Samsung Galaxy Book 2,Smartphone,Amazon,performance,Negative,-0.4215,waste of money perform wide plant idea push boy issue slow performance
497,Samsung Galaxy M53,Smartphone,Amazon,performance,Negative,-0.35,average issue slow performance
499,Samsung Galaxy A14,Smartphone,Flipkart,performance,Positive,0.2263,worth it issue slow performance
501,Samsung Galaxy Book 2,Smartphone,Amazon,camera,Negative,-0.6705,bad reveal against long over well get issue camera quality is poor
504,Samsung Galaxy S21 FE,Smartphone,Amazon,battery,Negative,-0.4215,waste of money issue battery draining fast
506,Samsung Galaxy A14,Smartphone,Flipkart,battery,Negative,-0.25,waste of money up get admit cost she near issue battery draining fast
509,Samsung Galaxy Tab S7 FE,Smartphone,Flipkart,display,Negative,-0.1426,bad capital quite country truth special claim fight issue display flickering
523,Samsung Buds 2,Accessories,Amazon,camera,Negative,-0.34,worth it paper recently participant until cultural leave base issue camera quality is poor
531,Samsung Galaxy S21 FE,Smartphone,Amazon,camera,Negative,-0.296,worth it daughter marriage fall adult issue camera quality is poor
535,Samsung Charger 25W,Accessories,Flipkart,performance,Negative,-0.5423,bad soon especially production resource hit issue slow performance
536,Samsung Galaxy S22,Smartphone,Amazon,camera,Negative,-0.4767,average hour their individual yourself television relate later issue camera quality is poor
545,Samsung Galaxy A14,Smartphone,Flipkart,battery,Positive,0.5719,excellent issue battery draining fast
548,Samsung Galaxy S21 FE,Smartphone,Flipkart,battery,Positive,0.2263,worth it issue battery draining fast
550,Samsung Buds 2,Accessories,Amazon,performance,Positive,0.5719,excellent it check forward participant establish yourself cold issue slow performance
553,Samsung Galaxy A14,Smartphone,Flipkart,display,Positive,0.7506,excellent blood employee have radio here help address issue display flickering
554,Samsung Buds Live,Accessories,Amazon,battery,Negative,-0.1531,good particular happen recently question edge suffer issue battery draining fast
557,Samsung Galaxy S22,Smartphone,Amazon,battery,Positive,0.2263,worth it voice republican charge election network six
558,Samsung Refrigerator,Other,Amazon,software,Neutral,0.0,very userfriendly interface
560,Samsung Galaxy Buds2,Smartphone,Amazon,software,Neutral,0.0,very userfriendly interface
566,Samsung Charger 25W,Accessories,Amazon,sound,Positive,0.3612,excellent exist soldier same stop movie bill sound
571,Samsung Galaxy S23,Smartphone,Flipkart,sound,Positive,0.5859,speaker quality is amazing
574,Samsung Buds Live,Accessories,Flipkart,battery,Negative,-0.4215,waste of money issue battery draining fast
586,Samsung Galaxy Book 2,Smartphone,Flipkart,camera,Negative,-0.0516,good young daughter ask spend compare difference campaign issue camera quality is poor
588,Samsung Galaxy M14,Smartphone,Flipkart,build_quality,Negative,-0.4215,waste of money end future live paper whatever material see
591,Samsung Galaxy M14,Smartphone,Amazon,camera,Negative,-0.0516,good model police each none part book issue camera quality is poor
592,Samsung Galaxy S21 FE,Smartphone,Flipkart,build_quality,Negative,-0.5423,bad social force who professor build report response issue overheating issue
599,Samsung Buds Live,Accessories,Amazon,battery,Negative,-0.7179,not great stage about decide pm issue charging problem
601,Samsung Galaxy Tab S7 FE,Smartphone,Flipkart,performance,Negative,-0.5096,not great spend wear big wall together specific turn issue slow performance
605,Samsung Buds Live,Accessories,Amazon,battery,Neutral,0.0,average itself level finally student politics charge later because
609,Samsung Galaxy A14,Smartphone,Amazon,display,Negative,-0.35,average issue display flickering
614,Samsung Galaxy M53,Smartphone,Flipkart,camera,Negative,-0.0516,good why here test issue camera quality is poor
620,Samsung Galaxy A14,Smartphone,Amazon,battery,Negative,-0.7179,not great suggest blood way if behind half issue charging problem
626,Samsung Galaxy A34,Smartphone,Amazon,camera,Negative,-0.765,bad quite describe usually factor soldier beat know issue camera quality is poor
627,Samsung Charger 25W,Accessories,Amazon,performance,Negative,-0.5423,bad issue slow performance
634,Samsung Galaxy A14,Smartphone,Amazon,battery,Positive,0.4404,good issue battery draining fast
637,Samsung Galaxy Tab A8,Smartphone,Amazon,battery,Positive,0.3818,good security simple southern space week material real down issue charging problem
638,Samsung Galaxy S21 FE,Smartphone,Amazon,performance,Positive,0.6808,good race face challenge could paper value issue slow performance
642,Samsung Galaxy A54,Smartphone,Amazon,camera,Negative,-0.5859,bad popular still rock community issue camera quality is poor
651,Samsung Air Conditioner,Other,Amazon,camera,Positive,0.6369,love the camera quality
666,Samsung Galaxy Tab A8,Smartphone,Flipkart,camera,Negative,-0.7601,worth it not win green interesting issue camera quality is poor
668,Samsung Galaxy Book 2,Smartphone,Amazon,camera,Negative,-0.765,bad issue camera quality is poor
679,Samsung Buds 2,Accessories,Amazon,display,Negative,-0.5423,bad issue display flickering
686,Samsung Charger 25W,Accessories,Amazon,camera,Negative,-0.7502,not great imagine meet local you issue camera quality is poor
692,Samsung Galaxy Z Fold5,Smartphone,Amazon,software,Neutral,0.0,very userfriendly interface
697,Samsung Galaxy Buds2,Smartphone,Amazon,battery,Positive,0.4404,battery life could be better
698,Samsung Galaxy M34,Smartphone,Flipkart,performance,Positive,0.4404,good issue slow performance
699,Samsung Galaxy Tab A8,Smartphone,Amazon,display,Positive,0.7184,excellent owner same gas truth issue display flickering
701,Samsung Galaxy M14,Smartphone,Flipkart,display,Negative,-0.4215,waste of money issue display flickering
702,Samsung Galaxy S21 FE,Smartphone,Amazon,battery,Positive,0.128,excellent lay tough first wind property military issue charging problem
703,Samsung Galaxy A14,Smartphone,Flipkart,battery,Negative,-0.5423,bad life population plan hear glass wife season
705,Samsung Galaxy M14,Smartphone,Amazon,build_quality,Negative,-0.4019,waste of money argue man sometimes build natural during political
707,Samsung Galaxy A54,Smartphone,Amazon,display,Positive,0.2263,worth it issue display flickering
710,Samsung Galaxy A54,Smartphone,Amazon,battery,Positive,0.5719,excellent behavior after case painting expect issue battery draining fast
723,Samsung Galaxy S23,Smartphone,Amazon,battery,Positive,0.2263,worth it late toward son dark issue battery draining fast
727,Samsung Galaxy Book 3,Smartphone,Flipkart,camera,Negative,-0.7906,waste of money around choice security station maintain suffer issue camera quality is poor
730,Samsung Galaxy A34,Smartphone,Amazon,camera,Negative,-0.8718,not great according building crime describe form seven tax issue camera quality is poor
732,Samsung Galaxy M14,Smartphone,Flipkart,camera,Positive,0.1779,worth it better candidate building every guess remain issue camera quality is poor
733,Samsung Buds 2,Accessories,Amazon,performance,Negative,-0.35,average issue slow performance
739,Samsung Galaxy M14,Smartphone,Amazon,camera,Negative,-0.296,worth it common fast policy leg issue camera quality is poor
741,Samsung Galaxy M34,Smartphone,Amazon,camera,Negative,-0.1531,excellent those by experience pressure somebody down issue camera quality is poor
751,Samsung Galaxy M34,Smartphone,Flipkart,camera,Negative,-0.296,worth it thing method toward leader century may listen issue camera quality is poor
753,Samsung Galaxy Tab A8,Smartphone,Flipkart,camera,Positive,0.1531,excellent young reality civil issue camera quality is poor
755,Samsung Galaxy A34,Smartphone,Flipkart,battery,Negative,-0.0772,waste of money strategy serve plant west ready three charge statement
759,Samsung Galaxy M34,Smartphone,Flipkart,build_quality,Negative,-0.5096,not great next resource firm institution material and
760,Samsung Galaxy A34,Smartphone,Flipkart,connectivity,Positive,0.7783,average have successful interest tree young network student
761,Samsung Galaxy M34,Smartphone,Amazon,battery,Positive,0.5267,average radio in sound kind anything charge article shoulder
765,Samsung Charger 25W,Accessories,Flipkart,performance,Positive,0.7579,excellent paper pm nice story issue slow performance
766,Samsung Buds 2,Accessories,Flipkart,display,Negative,-0.4215,waste of money issue display flickering
767,Samsung Buds 2,Accessories,Flipkart,camera,Positive,0.5719,excellent focus wind much here
769,Samsung Galaxy S22,Smartphone,Amazon,battery,Negative,-0.296,bad participant three thousand charge huge
780,Samsung Galaxy S22,Smartphone,Amazon,performance,Negative,-0.35,average issue slow performance
781,Samsung Galaxy A34,Smartphone,Amazon,battery,Negative,-0.6705,waste of money issue charging problem
787,Samsung Galaxy S21 FE,Smartphone,Flipkart,performance,Positive,0.5719,excellent issue slow performance
794,Samsung Galaxy M14,Smartphone,Amazon,performance,Negative,-0.6249,bad admit nearly computer role woman argue issue slow performance
796,Samsung Galaxy S22,Smartphone,Amazon,camera,Positive,0.5423,excellent activity business century easy read issue camera quality is poor
800,Samsung Galaxy M14,Smartphone,Amazon,battery,Positive,0.6486,excellent style player manage free issue charging problem
803,Samsung Galaxy Book 3,Smartphone,Amazon,display,Negative,-0.296,bad statement american increase force member radio item issue display flickering
805,Samsung Galaxy A54,Smartphone,Amazon,camera,Negative,-0.296,worth it so model seven major star pull apply issue camera quality is poor
809,Samsung Galaxy M34,Smartphone,Amazon,display,Negative,-0.5096,not great issue display flickering
810,Samsung Galaxy Watch6,Smartphone,Amazon,sound,Positive,0.5859,speaker quality is amazing
812,Samsung Galaxy M14,Smartphone,Flipkart,camera,Negative,-0.0516,good issue camera quality is poor
813,Samsung Galaxy A54,Smartphone,Amazon,performance,Positive,0.4939,average hour conference save understand issue slow performance
820,Samsung Galaxy A14,Smartphone,Amazon,camera,Neutral,0.0,average camera apply wind from imagine anything and
824,Samsung Galaxy S23,Smartphone,Amazon,battery,Negative,-0.4215,waste of money issue battery draining fast
829,Samsung Buds Live,Accessories,Flipkart,camera,Positive,0.1531,excellent issue camera quality is poor
830,Samsung Galaxy S22,Smartphone,Amazon,performance,Negative,-0.35,software updates are slow
833,Samsung Refrigerator,Other,Flipkart,performance,Negative,-0.35,software updates are slow
837,Samsung Galaxy A14,Smartphone,Amazon,battery,Negative,-0.5423,bad my hospital race issue battery draining fast
842,Samsung Galaxy M14,Smartphone,Amazon,battery,Negative,-0.7641,not great garden another real great issue battery draining fast
843,Samsung Buds Live,Accessories,Flipkart,performance,Negative,-0.35,average technology last science director candidate issue slow performance
844,Samsung Galaxy A14,Smartphone,Flipkart,battery,Negative,-0.6705,waste of money read point per notice nearly just it issue charging problem
845,Samsung Galaxy A14,Smartphone,Flipkart,battery,Positive,0.2263,average huge life how performance hard issue display flickering
851,Samsung Galaxy Tab S7 FE,Smartphone,Amazon,display,Negative,-0.5423,bad issue display flickering
853,Samsung Galaxy A14,Smartphone,Flipkart,battery,Negative,-0.4019,average issue charging problem
854,Samsung Galaxy M34,Smartphone,Amazon,performance,Positive,0.8126,excellent close action which defense hand fall issue slow performance
855,Samsung Galaxy A14,Smartphone,Flipkart,battery,Negative,-0.6705,waste of money family wind sport everyone may issue charging problem
865,Samsung Galaxy Tab A8,Smartphone,Amazon,battery,Positive,0.4404,good we outside contain never fill type field official issue battery draining fast
867,Samsung Galaxy S21 FE,Smartphone,Amazon,display,Negative,-0.5096,not great issue display flickering
869,Samsung Galaxy Book 3,Smartphone,Flipkart,battery,Positive,0.2263,worth it issue battery draining fast
870,Samsung Galaxy M53,Smartphone,Amazon,battery,Negative,-0.5423,bad issue battery draining fast
873,Samsung Galaxy M53,Smartphone,Flipkart,performance,Negative,-0.1027,average stage attorney environment pay idea issue slow performance
877,Samsung Galaxy M34,Smartphone,Amazon,display,Negative,-0.5096,not great history about member let task discuss issue display flickering
878,Samsung Galaxy S22,Smartphone,Amazon,battery,Negative,-0.4404,worth it through life imagine phone low article issue charging problem
881,Samsung Galaxy Watch6,Smartphone,Flipkart,camera,Positive,0.6369,love the camera quality
888,Samsung Galaxy A54,Smartphone,Amazon,connectivity,Negative,-0.7181,not great six free list person along network
890,Samsung Galaxy M34,Smartphone,Amazon,battery,Negative,-0.5423,bad issue battery draining fast
895,Samsung Galaxy Tab A8,Smartphone,Amazon,performance,Negative,-0.25,waste of money big bring new fine manager put perhaps issue slow performance
898,Samsung Galaxy M53,Smartphone,Flipkart,heating,Negative,-0.2263,bad medical clear everything believe congress hot girl
915,Samsung Charger 25W,Accessories,Flipkart,camera,Negative,-0.765,bad until focus social kitchen issue camera quality is poor
920,Samsung Galaxy M14,Smartphone,Amazon,camera,Negative,-0.5574,worth it law turn approach argue much staff issue camera quality is poor
921,Samsung Galaxy Tab A8,Smartphone,Flipkart,battery,Negative,-0.0757,not great be control until toward interest job represent begin issue battery draining fast
925,Samsung Galaxy Book 2,Smartphone,Amazon,camera,Positive,0.1531,excellent issue camera quality is poor
927,Samsung Galaxy S21 FE,Smartphone,Flipkart,camera,Positive,0.4019,excellent official serious play by issue camera quality is poor
935,Samsung Galaxy A34,Smartphone,Amazon,display,Positive,0.2263,worth it their ahead role us between issue display flickering
936,Samsung Galaxy M14,Smartphone,Amazon,heating,Positive,0.5719,excellent hot consider
945,Samsung Galaxy M14,Smartphone,Flipkart,battery,Negative,-0.35,average issue battery draining fast
950,Samsung Buds Live,Accessories,Amazon,display,Negative,-0.35,average be body my politics issue display flickering
954,Samsung Galaxy M14,Smartphone,Amazon,connectivity,Positive,0.296,average voice book agent well network address reach issue overheating issue
955,Samsung Galaxy M53,Smartphone,Flipkart,camera,Negative,-0.7096,waste of money issue camera quality is poor
958,Samsung Galaxy S21 FE,Smartphone,Amazon,battery,Positive,0.4767,excellent minute energy list issue charging problem
962,Samsung Galaxy Tab A8,Smartphone,Flipkart,display,Negative,-0.5096,not great town become recognize money issue display flickering
965,Samsung Galaxy Book 3,Smartphone,Flipkart,battery,Negative,-0.5096,not great issue battery draining fast
966,Samsung Galaxy A54,Smartphone,Flipkart,battery,Negative,-0.35,average wish recently everybody participant performance point sell standard issue charging problem
970,Samsung Galaxy Book 2,Smartphone,Flipkart,battery,Negative,-0.5096,not great realize run very red design kid hold issue battery draining fast
972,Samsung Galaxy A54,Smartphone,Flipkart,display,Negative,-0.35,average issue display flickering
978,Samsung Charger 25W,Accessories,Amazon,battery,Negative,-0.5423,bad issue battery draining fast
980,Samsung Galaxy S22,Smartphone,Flipkart,battery,Negative,-0.6705,waste of money issue charging problem
988,Samsung Galaxy M53,Smartphone,Amazon,performance,Negative,-0.4215,waste of money issue slow performance
992,Samsung Galaxy Buds2,Smartphone,Amazon,software,Neutral,0.0,very userfriendly interface
996,Samsung Buds 2,Accessories,Amazon,performance,Negative,-0.5423,bad range deal material expert center issue slow performance
997,Samsung QLED TV,TV,Flipkart,camera,Positive,0.6369,love the camera quality
1010,Samsung Galaxy Tab S7 FE,Smartphone,Amazon,performance,Positive,0.1779,good dinner pressure half size budget issue slow performance
1011,Samsung Galaxy M34,Smartphone,Amazon,battery,Positive,0.4767,excellent he it miss tree issue battery draining fast
1016,Samsung Galaxy S21 FE,Smartphone,Flipkart,camera,Negative,-0.296,worth it issue camera quality is poor
1020,Samsung Galaxy S22,Smartphone,Amazon,battery,Negative,-0.5096,not great page region manager charge
1028,Samsung QLED TV,TV,Flipkart,performance,Negative,-0.35,software updates are slow
1035,Samsung Galaxy A34,Smartphone,Amazon,heating,Positive,0.1531,good hot system position suffer son ok
1038,Samsung Galaxy A54,Smartphone,Flipkart,performance,Negative,-0.0772,waste of money whose try president smile yard office issue slow performance
1042,Samsung Galaxy S21 FE,Smartphone,Flipkart,display,Negative,-0.5096,not great issue display flickering
1044,Samsung Galaxy Tab S7 FE,Smartphone,Amazon,camera,Negative,-0.0772,good tonight attack executive cold then line benefit issue camera quality is poor
1047,Samsung Charger 25W,Accessories,Flipkart,connectivity,Negative,-0.5719,waste of money far network forget late information
1049,Samsung Galaxy M53,Smartphone,Flipkart,display,Negative,-0.5096,not great issue display flickering
